id,name,description
bppdmdbfbjhhallihdecoffobapdddjb,Servant AI,Your AI secretary like J.A.R.V.I.S. Use +200 no signup tools in one place.
gocjcjlomgicpbnnndogeloallkgnlik,Harry Potter 1366x768,Harry Potter 1366x768
fkmpnkcjocenkliehpdhlfbmdmdnokgm,drrr chatbot extension,chatbot extension for drrr.com
iajafhoaenbbggpaicppbgaadgdgjcgd,LEO Bookmarks Helper Tools Plugins,Chrome 小0助手插件，集书签管理，默认首页，等小工具
ncoibfohlcjpibpldknhlaiocggfpkeg,كود خصم بوتري بارن كيدز 2023 كوبون جديد %,احصل على كود خصم بوتري بارن كيدز و كوبون بوتري بارن كيدز يمنح خصومات اضافية عند التسوق من موقع Pottery Barn Kids صالح لجميع الدول
jcgoegpgdgklohplpnopagfbipaaddcl,BeLive Desktop,BeLive.tv Desktop Extension
dbnbnbcnmjjkbipkbeoecnjgdgomhcno,Birthday Time,I didn't have time for a card so heres the internet
pkffmnnmhjgjidmidhpkgmaamnecmejg,WhiteListedSeller,WhiteListedSeller_Extention
hncfhclkfdiiapfjpenljgfgdbpjojlc,NOLA Comment Mover,Feel like the comments of NOLA articles don't get enough prominence? Use this extension to move the comments to the top.
ghfpifklepifimmmnfggkakdiahccacp,ElasticSearch API Search,Stick to specific ES Version while searching.
ilopacefbnegkpdgphfpgdnjpkggognj,Everliker Standalone | Social Assistant,Smart and Simple Assistant for Instagram(tm)
fmjgnambdgpofefkhbbngmfjacmcgbda,World Time Zone,World Time Zone
omdngcmkngnlckainammbocogfgocodj,Event Horizon Theme by VikiTech,Event Horizon Theme is a part of our Cosmic Fringe Space Themes Collection which is our first set of chrome themes capturing the…
fojhphcgombkenbibglimoneaglapdpi,MechaFightClub,"The official MechaFightClub extension helps you avoid scammers, ne'er-do-wells and charlatans by confirming OFFICIAL MFC domains."
iaeahbpcnoblddpoimnnjihelbhljmeo,FundingBox Meetings,Schedule FundingBox Meetings from your calendar.
abbpnienhlpmlfjjoiogknmjknlaeadp,Lorem Gen,Quickly generate lorem ipsum text to bootstrap your content!
hiaeadimnoiennkbanljjfmkenjfombg,The Unofficial Dodger Chrome Extension,Keep up to date with new videos and twitch streams!
ghecallpffajppnpkallggejgcjiohcm,Custom Fetlife,Customize FetLife interface.
ldhkneiheabejbefhgjddpamijajabmm,StatsHunters,Show tiles on Strava route builder
nbgghbhaanommbapokejnmfdlddoacff,CodeNav (Github code navigation),Navigate Github code easily.
fpoeeaddlpbhdbaapjnpeipdbahiajaj,Concentration,"Concentration , also known as Memory, is the classic card game that can be enjoyed by all ages."
hibhidgmfehdhjdlpcjjcbningggpolk,Lesson Book,This tool formats class data for easy copy paste for both gogokid and vipkid into a teachers database or spreadsheet.
najpkkbnnjlcplkannjpdgjeldbaffeh,Sengerio,"Sengerio is an evolution of the traditional management software, available on Internet and Enterprise Social Network-oriented."
dljeallhpechbhfaibnfnajecbkibdep,UPS Context Menu Shipment Track,Fast tracking for UPS shipments. How to use: 1. Highlight the tracking number 2. Either right-click or click the extension icon……
pgbdfhdljpeifdbgijbnlfcnkdpbmhfl,Guild Wars 2 Engineer Theme 2,This is my second attempt for a decent Engineer theme. I hope you like it.
mfokjmdlchngfadmbhmhenelgmbccdmc,Kakuy Live,KakuyLive Social Browsing
kafgicjjenkbchenkmaalkldcaliengo,Paper heart,"If you like this theme, will rate it, please. Website: https://gctheme.store/"
fenkbckhnbnggfkdhjkhflojbcimmcmo,كود خصم كامبلي و كوبون كامبلي Cambly 15%,"Does Cambly ever have sales?
In addition to promo codes, Cambly offers a clearance page where they run promotions, price drops, and…"
demmnapelfalffbfnflnmagiclbmikbc,Sports Equipment,Vain parhaat ja suosituimmat teemat Atavi.comista
bnbgafdjiinlgnjaedmfaablklnafpka,Text Editor,"Text Editor 👌

Features:
 ✓ 
 
Open Source! 🎈 Check out Frame By Frame's source code and contribute here:
   •…"
dafkckkbanahhlmopfofljeifgdpcpbm,Animals,Vain parhaat ja suosituimmat teemat Atavi.comista
iikjcbakondakcbblkccdmiaiklnddke,Videon latausohjelma - MPMux,"Ammattimainen videolatausohjelma plus, se voi tallentaa tai tallentaa online-videoita, kuten HLS, m3u8, mp4 jne."
gfggnbjgjblindbgcgbmekgmepdabmbp,Cat yang tidak biasa,"Jika Anda menyukai tema, maka letakkan 5 bintang."
mlbbfbglopgggjblbfhpgnphfbdjdhie,WTS Scheduler,Kiosk app for IUB Writing Tutorial Services scheduler
hmbnhhcgiecenbbkgdoaoafjpeaboine,Lewati Otomatis untuk Iklan Youtube™,Secara otomatis mengklik tombol Skip pada iklan video YT
ficlhfajhinggfllgdfohfjoonihgddn,Jigsaw Wolf Puzzle,"This puzzle contains 50 amazing pictures to puzzle with.
★ Choose between 50 images on board
★ Every day a new puzzle !
★ Puzzle…"
pkmpegmgkbkllpncocdcjombdnmccmlh,pemutus bata,"batu bata klasik terkenal melanggar permainan, aturan ini sangat sederhana, Anda tujuannya adalah menghancurkan semua batu bata."
aikcmffgkpoonhopfebnlbbpcngompkg,Greg,
fnckhcfokjndphlmkpoihcjmcpghcofh,Importir Tingkat Lanjut,"Melalui ekstensi Importir Lanjutan ini, Anda dapat mengimpor apa pun (data apa pun yang Anda inginkan) dari situs web mana pun…"
mlgfdbfcnnhiglilaalpfbgpdohgihop,Permainan perempuan,"Panggang kue yang lezat, bersaing dalam tantangan menari, dan berdandan selebritas di game cewek online! Main sekarang!"
kbgplcfihfeioiaddclapccnefggiddn,Bagikan ke Facebook,"Easily share any link to Facebook, Groups, and Messenger

- Click on the Facebook button at any time when you're on a website, and…"
dnoiapcpcemhlojpodbjdkphjcnlngda,"Halloween Tab Baru, Customized Wallpapers HD",Wallpaper pembaruan otomatis atau wallpaper pencarian dari Google ™ Images untuk menyesuaikan halaman tab baru Chrome Anda.
ancabnbjdfodbehmkjegglahpghhbomm,iherb クーポン,"iHerbの割引クーポンコードは既存会員の方が2回目以降の注文でも利用できる割引コードと、新規購入者が初回注文でのみ利用できるコードとありますので、利用条件をご確認くださいね。

2018年12月10日更新！
最新のiHerbプロモコード…"
cnlnkegolibndlimkplkdemklbljapop,Star Flare,Vain parhaat ja suosituimmat teemat Atavi.comista
ogokdjmbhkhmhifmccdbjdiiinaaicpa,Designer lighting,"If you like this theme, will rate it, please. Website: https://gctheme.store/"
nicimmcnnknhpfejiloddnmncddcjlnd,Snake io  Unblocked Games,"A Snake egy videojáték, amely az 1970-es évek végén jött létre a játéktermekben, és klasszikussá vált."
bngpkllahodabojojhocpheljifahibn,Zárt lapok visszavonása a Google Chrome ™ alkalmazáshoz,"Egyszerű felugró ablak a zárt lapok visszavonásához, csak ez és még egy kicsit."
onabgcnioebikbfdhnokldphcgeaopoj,Art girl on the balcony,"If you like this theme, will rate it, please. Website: https://gctheme.store/"
odppebklklagpkhhihgmaekbffkiabcp,Death Note  1366x768,Death Note  1366x768
nphgjnagopjcejpncakmojifbeakeilb,Oscar de la Renta,Oscar de la Renta világhírű divattervező. Termékeit –·az Oscar de la Renta butikok mellett – mindenhol első osztályú boltokban…
kljhpkgmdkmcndbddcibamiigfnpkmcn,Glass with hearts,"If you like this theme, will rate it, please. Website: https://gctheme.store/"
felflkndljbjehhgadcfmijcoamhhngl,Custom Cursor-Man: Hero's Rise - Idle Game,A fun idle clicker game about a simple guy willing to become a Custom Cursor hero Cursor-Man and his entertaining adventures.
fbffombkfihfokifmkihbddiafipndnb,Bright VPN - Secure Private & Free VPN Proxy,"Bright VPN desktop app remote controller. Bright VPN is easy to use, no email or credit card is required to use the VPN proxy."
ifklgepabainamgmdlnalfbpgpajpmmo,Democracy Prep Sign-In form,
bincmiainjofjnhchmcalkanjebghoen,AG Fordító,"Könnyedén megtekintheti a fordításokat, amint az interneten böngész. A AG Fordító csapata jóvoltából."
kaojoinhdpojbpjhibmakknamcebnbhp,Epic Roll,"Készen állsz egy epikus kaland az Epikus Roll? Kattintson az egér, amikor azt kell, hogy valami mozog a táblán. Jó szórakozást!"
jlfegkfcihbbpiegahcpjjidojbhfglo,Radio Daring untuk Google Chrome ™,Gratis! Dengarkan stasiun radio dari browser Anda.
ickkeicbhkgcofgmfhfhomnbmobmeflf,Black dog,"If you like this theme, will rate it, please. Website: https://gctheme.store/"
jaddgeihnekakgjgpaaafknmeenbljkb,APD Media Logs,City of Augusta Maine Police Media Logs
dhhjleejabniihagahmondkddkodhmak,Art girl sniffs flowers,"If you like this theme, will rate it, please. Website: https://gctheme.store/"
pjpboakliajignmoohbgldhjpchnlabm,cambly 優惠代碼,"介紹編號」輸入：TUR50
也可獲得15分鐘免費課時
(介紹編號funenglish可以無限次使⽤，沒有使⽤次數限制)
電腦版cambly畫⾯⽰範:
(直接使⽤此連結註冊的讀者，就可以不⽤再⼿動輸入TUR50)…"
albhbjielkkbichopbalnnnfnmpleoaa,Cars for kids - Garbage truck,Free game for kids.  From real environment. Play with car.  Pick up the dustbin with garbage truck. The most dustbins the better…
dlbbmmeaglbjmlddnpdbfhcpepnkfofk,聽說學習 - 使用 Youtube 學習語言,使用 Youtube 學習一門新語言
lfbkccmgloghcememdkjmddnjhmkejkb,Triobo - digital publishing,"Triobo is an all-in-one software for creating and publishing interactive publications for Apple, Android, Amazon and for the web."
edickcciicdmpehckmkfbfofliffgdpg,League of Legends Lee Sin 1920X1080,League of Legends Lee Sin 1920X1080
pnngggaeagpmpbngngddnpjgldjcnphd,Dark Souls 1366x768,Dark Souls 1366x768
bojcplklhdbhcndefcidaipkccnnagod,YouTube™ Enhancer Plus,The extension is an Enhancer for Youtube to improve your watching experience!
fipaibmadbngajchpclbkjlomacfbicc,駕駛遊戲,駕駛遊戲讓您控制汽車，無需許可證！ 選一輛車，玩得開心！
jboamegooicbaehhnlmjhcadjoldelma,火影忍者新標籤，定制壁紙HD,自動更新壁紙或從Google™圖片搜索壁紙來自定義您的Chrome新標籤頁。
donbcfbmhbcapadipfkeojnmajbakjdc,Ruffle,把 Flash 重新帶回現代瀏覽器。
cbmhllpjephgiefmlmdjkbklghpeemph,NKFUST Flow,NKFUST Flow
mgadbnohgoninkdjnknoglajhpgonkje,Version Check for phpMyAdmin,檢查網頁由什麼版本的phpMyAdmin提供技術支援。
iepkodcdncjmkbbhdfjbgekhlkpikagn,Kingdom Life,"This is the official Kingdom Life Frankfurt application. Keep in touch with the latest news, Pasta Richard's teaching blog, the…"
ginbhihobgmfdgnepbhgeofckocecael,HSK Locker,"Based on the official China's HSK (Hanyu Shuiping Kaoshi) examination and covering all of the nearly 5,000 Chinese characters from…"
njdfdhgcmkocbgbhcioffdbicglldapd,LocalCDN,透過重定向至本地資源來保護您不受內容傳遞網路（CDN）的追蹤。
kibommjdhbfnjnnbllfmcbnehhlkphfc,Spell Storm,Tasked by your masters to defeat the evil chaos reaper - you now stand before his dark fortress...
aohghaopmccniniecipajopgbjbmljii,Vested Networks,Integration powered by Vested Networks
jjehhjdfaodpjfkmcghhppkdcpoboekn,愛比 IPEVO Presenter,用Presenter輕鬆捕捉IPEVO實物攝影機拍攝的畫面，讓你的教學事半功倍。
jhgjhncplhbjpdlgpenfmojcicihhcoe,Fanpage likes,This extension help you to get sharedposts
caljgklbbfbcjjanaijlacgncafpegll,Avira Password Manager,Avira 密碼管家能夠儲存、管理並同步您在所有裝置上的所有密碼。
oplkmppmlhdfamakhpefejmhonoimicp,Plaket Mode App,"Açık-koyu mod, schedule  ve font seçenekleri ile daha verimli gezinme sağlayan İstanbul Plaket tarayıcı eklentisidir."
hopcbmeplpekjenhhkiceeeaeoeoaona,YouTube™专用Channel groups and rating扩展程序,YouTube 订阅、频道、视频和评论隐藏、过滤、评分、导出和分组。始终同步。
bkbioakanibldaifehbeagfbfndijnin,鬼滅之刃竈門炭治郎高清背景壁紙新標籤頁,鬼滅之刃竈門炭治郎壁紙擴展程序重新定義了您的Chrome新標籤頁成為鬼滅之刃竈門炭治郎的背景壁紙。鬼滅之刃竈門炭治郎粉絲的主題。
iglljnipmlehmkaopjildkphcoeemhbf,Unite Lite,"Tired with old puzzle games like jigsaw puzzles, block puzzle, even legendary Tetris, Line or other puzzle games? So Unite puzzle…"
fihgaomjmoflomciogilibcjgpmiddfa,台股.com,提供台北股市即時報價
gkbkgngcpcfajdokakdbddplkaeaemgf,Cambridge Dictionary Better,Using Cambridge Dictionary easily when you search some vocabulary.
ljlkglcinlcohdeimpmnkhcmhgpnldnd,Weather Extension,Weather Extension in React!
ongomiklmpfmjkalajikelcibamichco,Attack On Titan Eloquence  1366x768,Attack On Titan Eloquence  1366x768
hagjdpokfepjkkmfdmopifbconbhcaoc,Bloons 2 Distribute,Pop your way through 100 levels of Bloons 2.
kbgapnpdcdehclfankhkdcmmifnhahjl,The Witcher 3 Wild Hunt 1366x768,The Witcher 3 Wild Hunt 1366x768
ajmjdmbcniimjdmpfdphakmdmlnhjdgl,Beach Earth day Ultra HD 1400x900,Beach Earth day Ultra HD 1400x900
gbkeegbaiigmenfmjfclcdgdpimamgkj,文件、試算表及簡報的 Office 編輯擴充功能,使用 Google 文件、試算表和簡報檢視及編輯 Microsoft Word、Excel 和 PowerPoint
gkdkpnimfmkkhlffjbijibpoimhihjea,使用 Jabber 通話,允許您從瀏覽器使用 Cisco Jabber 撥話
cfpdibiakfhmeccilnmhdlhaicbnnafe,Speed Tabs,輕鬆快速地切換所有打開的網頁
mhbjbdglobddcdoaebmhmkdjbpjlbkhi,Fortnite Wallpapers and New Tab,Fortnite wallpapers bring your chrome a new look and useful tools
fgmeboblogphchmhbkppjdjohckmmhan,medium infinity reader,Redefined 'referer' in HTTP header to read medium article.
pbcoaaajbfckabdfiijconeaihfajibb,CoCo Text Adventures,"The classic text adventure games Bedlam, Raaka-Tu, and Pyramid 2000 ported to Android (and now Chrome). The Tandy Color Computer…"
defdhigkgpkalcbgilkadfgnabcjajlk,591租屋網筆記,快速加入物件優缺點，提升找租屋效率。
ngceodoilcgpmkijopinlkmohnfifjfb,專注清單: 番茄鐘 & 任務清單 & 番茄工作法(原小番茄)「管理工作日程和學習計劃，培養專注習慣」,幫助您專注於當前的工作和學習，基於番茄工作法，待辦任務清單結合番茄鐘計時器，絕佳的時間管理效率工具，幫助提高自律，擺脫拖延。
cpkjghgcankejkgdgecmjckommckfbmp,台服隊友稽查工具,台服 LOL 隊友/對手 稽查工具 【網頁插件版】
knkpjhkhlfebmefnommmehegjgglnkdm,Video Downloader,"Video Downloader for your browser. The fastest way to to download any video from Facebook, Instagram, Twitter..."
goojbhegjhmbhcdpbcpkbijhehhfoiac,WebAPP CYIM,Blog about WebApp CYIM
immdeddgjijbkpdmkmhkpahpehaabhid,Eshi 100-Nin Ten,............................
ehheehdbnpeaedppgmcidomodlfggjkg,1單擊Google文檔,1單擊創建新的Google文檔。
abidlfefgiokgkmonfhdegaehjodikcj,超級乒乓球遊戲 - 離線運行,Super Ping-PonGoal 是經典乒乓街機遊戲的重新構想版本。 從足球、籃球、排球中挑選一個球。 享受！
dmobhfhmcgcceenmkcpckkffmfkkmkbf,智能選擇,鼠標簡單選取即可把外幣、英制長度、英制重量、華氏溫度和油耗等轉換為個人更習慣的單位（人民幣、公制和攝氏度等）
ehibgcdiohalhmgeiodfjkefmkpoboji,WhatStation - CRM para WA,WhatStation your best CRM tool
boaadndcimmpdcjejkaipofcnmepdagj,艦娘直連 Kancolle Direct Link,"此插件能令你遊玩艦娘不需VPN, 並取得直連連結. This extension can let you playing Kancolle without using VPN, and also getting the direct link."
ecjfmpmjbmgmcafkdjgcflcniamfemnk,F5購物大師,低價自動尋找，折扣查找，多個網站比較搜索工具購物。
galhifbkhokjdbfkllkjcmdinlhkigjn,Dark Souls 1920X1080,Dark Souls 1920X1080
hagkllfphgbmeghnmnncjmmnbngbgboo,Skyrim Dragon 1920X1080,Skyrim Dragon 1920X1080
oflohfhbecjnmgblfogfkabhgfmkmmoj,The Witcher 3 Wild Hunt 1366x768,The Witcher 3 Wild Hunt 1366x768
mmbdgocgdhbfdeggpclokokhmdgnofjg,Cloud Connect,Cloudworx CRM Integration
anclhkgabfeppjannoanjkeflngdjemk,Fairy Tail 1920X1080,Fairy Tail 1920X1080
pgdjbeehbeajkcaflkboflehcdbidode,克隆頁面,瀏覽網頁時可輕鬆克隆頁面。
aopifgnekphmboohjmplkmacjgaeomlc,Calm Nature Earth day Ultra HD 1366x768,Calm Nature Earth day Ultra HD 1366x768
fahhlhbhnmkjegdfoiadmnhcclidoflh,AliPrice - TB以圖搜貨,AliPrice以圖搜貨神器可以讓你輕鬆地在跨境電商網站上找到同款貨源。
papdhfmmdhepoeeimnkdhnadpmemeamk,Trip.com | Save & Fly,此 Trip.com 官方擴充功能旨在讓您節省更多！
afckhadebilbpcnpkkmemiojkngadkop,考拉壁紙高清,考拉壁紙擴展程序重新定義了您的Chrome新標籤頁成為考拉的背景壁紙。考拉粉絲的主題。
dkkbplojellpdfhjpilljmnnpjhgomjm,Guess Who puzzle,"Who is the person we are looking for? Use your mouse or finger to drag the puzzle pieces (for touch & non-touch Chromebooks).

The…"
aflihibdiangnhfklipinmbdjflnhloe,Remarkable Chrome Extension,Allow users to leave comments on any website
hhlinpdnhabekakdnemgjjpfpnnpknfj,Chatisfy Assistant Extension,你可以在此擴充工具中，看到所有顧客「可能需要協助、剛成立訂單、或正在呼叫客服人員」的消息
ncopmpddfokfcmmnhhbekaecjbokeeck,會議擴展程序,會議功能所必須的擴展程序，幫助您隨時隨地與所有人協同工作。
dllplfhjknghhdneiblmkolbjappecbe,Multi Chat - WeChat Messenger for Whatsapp,"通过Chrome工具栏轻松访问WeChat, WhatsApp，Line，Telegram，FB Messenge等等。"
kbmnacmdgpfkcdhnfcopcogabhhlhngm,友好天气,友好的天气提示
chpdafndlgeplaoobnmfgmknpaakgfap,免費自動文本擴展器,創建自定義鍵盤快捷鍵，以在鍵入時擴展和替換文本！
cmkjpaihgnjkmienaeidkmgkcihbpkal,劇院模式看影片v2,"觀看影片時, 可直接擷取片源, 並開啟只有該影片的網頁(影片填滿整個瀏覽器)"
fcoofaphemciadedkmldpgkcpjikfacj,Beyonce New Tab,开始每个标签有一个美丽的高清图像！!
chfgpcfhfngoaligpdbnhcbijhdheeba,Youtube™的評分預覽,在決定是否觀看視頻之前，您可以查看視頻具有的“拇指向上”與“拇指向下”按鈕的數量。
dficcobpghplfppapheaenjajahhckkj,航班查詢,全球特價機票和酒店搜索比價. 在全球數千家航空公司和在線預訂網站的報價中找到最優惠的機票和航線組合.
eliiflfmghdagmmahpdniphmbhahmjne,imjaylin,安裝此擴充工具後，你將免費獲得創億學堂快報，日後只要有網路行銷相關訊息都會透過瀏覽器通知你
pfeabhccnkpilbkjncnndoahffhjgkak,nKemono,Inspired by nCage.  It replaces all of your images by Kemono Friends
pjgijegdlnandbpokomebjakofjlpjpg,適用於Google Chrome的SQLite Manager。,同時查看或編輯一個或多個SQLite數據庫。
lkfilefjfbnpfdhenkkhmilkljlhcgka,Attack On Titan Varsity 1920X1080,Attack On Titan Varsity 1920X1080
iicpikopjmmincpjkckdngpkmlcchold,Repeat button,Make videos play on repeat by pressing single button.
hipgfnjghjmfdebgmenoipheomjheknn,MetaMask,乙太坊瀏覽器擴充插件
kljhjccpkcioegehlgmdccfigehobnjp,Messenger - 如何使用,"瞭解如何使用信使的應用程式，如 Snapchat，Facebook 信使，WhatsApp、 Skype、 Viber，國際海事組織，Kik，探戈, WeChat"
cppopffhjdgeijpkpaoebneockpeehdo,Netflix Translate,Learn English watching your favorites videos on Netflix! Translate any word from subtitles just by clicking on it.
fbohjilojidofgkfahnfpcndldknlbgd,HeadphonesNeil,"Get all of my content in one app...

Podcasts
*The Android Realm Podcast
*Reel Nsight
*This Working Droid
*Lobot's Library

Other…"
abmelbhpogjkpdncdnmkkaikjhifngln,協訊國際ERP專案報價系統,協訊國際ERP專案報價系統
aigkpfllpljphkkmbjmcdpklmnikiigd,VERSAVoice CRM Integration,CRM Integration Powered by VERSAVoice
bejbnchjgmoiafdccjbiginmmbcgahkm,Luckydog Winner Generator Tool - turbo,Parse FB comments/reactions/shares and import them into Luckydog Winner Generator
aigmpdkhbheipeciefdmjecikekmgfij,AZ電子郵件提取器,Chrome的簡單電子郵件提取器擴展程序可自動從網頁中刮擦所有電子郵件ID。
mncgalpnbpbfdcjobmainpiccpmfogno,Diaper Cake TW,this is for diaper cake tw
mlgedccehkndmgkheopfmdgjnjihklkh,Xbox New Tab,利用 Microsoft 官方提供的這項擴充功能，在瀏覽器中隨時掌握「Xbox」的最新動態。
flmihfcdcgigpfcfjpdcniidbfnffdcf,Screence screen recorder,"Free and unlimited video screen recorder. Record desktop, single tab, or webcam. Narriate with microphone"
febbhgfdncbonpojdmjoleiepbakohal,新版救護紀錄表小幫手,讓救護系統變得好打
hbdffkcalnbhfnahfhpeabmnneaahhge,SE ASIA Memory Game,"Peter’s memory game from Asia for kids and adults. Free game, Easy to play.

Memory game offers:
- 3 levels: easy 4x4, medium 6x4,…"
keoiklelhpbfighdaceanmhindpmepkl,finfo - 保險費總額與佔比計算外掛,Insurance fees & proportion calculation for finfo.tw
eenbhnjimjnbgbehgdklpnjnbalbdemh,Roblox增強套件,增強您的Roblox體驗！
mhnppmochppgeilojkicdoghhgfnaaig,網頁快照 - Screenshot Extension,快速和簡單地儲存一張JPG的網頁快照。第一個插件能夠抓下整個網頁!
bmmmmnenhplfjdclemkddbfadmmponpj,Daily GK,"2016 Hindi and English daily GK (General Awareness), current affairs, business and English Language questions given in the form of…"
inedpbopjmklilkeklabaailcdjegflc,圖像剪貼板,屏幕截圖並將圖像保存到本地計算機。
hiladbglphldjhbfjfahkaajifpacheo,PixelMan战的复仇家,Pixelman生气了之后，他最后打败在的战斗在Minicas现在，他再次上升寻求报复对他的损失他收集了他的前任
ibfcacbcdfpfpobapelopmbmmldnmafl,Sample Appview Host,This sample shows how to request another app to be embedded.
macblkncmhkhcfpjnjdidjockdbagbgk,Speedy Cars - Memory Game,Cars for kids. Photo memory game for kids is a classic board game that helps develop memory skills of children and adults. By…
hpijlfldendkjfhdaebnbglbiajhempp,Fast Boo 照片幻燈秀,能夠讓你輕鬆擁有自己的照片幻燈秀
elnocalmhgohlhjlpabeanaplckehhpl,Woocommerce Spy,Product scraper for Woocommerce - Extract products to Excel and CSV
dkckipfcpbepnchndeeffaeihoacndpb,Beach Earth day Ultra HD 1366x768,Beach Earth day Ultra HD 1366x768
fchmanciglollaagnijpcagpofejennb,Twitch Channel Point Auto Claimer,自動領取twitch.tv的「特殊額外獎勵」50點忠誠點數，還可以幫你記錄領取了多少點哦！
nmcafamafbpmfgconfglgcldhlogjjgc,Mother's Day 1920X1080,Mother's Day 1920X1080
bjegldbhlolbbjocdodfhhagickkebhn,OGame Tracker Beta,This extension tracks information of the player and represents these graphically.
fiombgjlkfpdpkbhfioofeeinbehmajg,Word Online,建立、編輯與共用 Word 文件。與他人即時共同工作。
koleblagfjjlhlkpacidojjnkhobeikd,Quick Translate,Easy way to translate words and phrases while browsing a web page
ahgccilphdcefdhpabegmioeofobcggb,FarFaria,
obakimnhgahiedhcjlcnohielmendpen,Charlotte Ronson,在倫敦出生、紐約長大的 Charlotte Ronson 出身自藝術世家。自從推出自行設計的流行服飾品牌之後，她的系列產品逐漸受到國際矚目。全球許多百貨公司及精品店都可看到她的品牌蹤跡。身為報章雜誌的寵兒，Charlotte Ronson…
emioghpeidcoljiieefdhbonhmpbkngd,Exceed Telecom Click2Call,Integration powered by Exceed Telecom
odckpgohgpogeeelfbganfnfhoiillel,Calculadora IBAN,
dcgebimdbcmphmcgjkhfmjodlnjkkdlf,Planet Earth Ultra HD 1280x1024,Planet Earth Ultra HD 1280x1024
ocglkkmkoihhehajdfgkfmlheieokfcb,Calm Nature Earth day Ultra HD 1920x1080,Calm Nature Earth day Ultra HD 1920x1080
amgghbnkdjkjimofnejnbhllhbflplae,Anime Girls Wallpapers and New Tab,Anime Girls wallpapers bring your chrome a new look and useful tools
clofmpkcoepdcedgcnnaekokncomlbhg,Slogan,new tab with slogan
dfljnjkgjnmbomohkcljfonhdhbmkjcp,你的名字壁紙高清,你的名字壁紙擴展程序重新定義了您的Chrome新標籤頁成為你的名字影的背景壁紙。你的名字粉絲的主題。
nfbbfpodpdpmohpkbkdmdogmkocllpon,Siri記帳本-筆記本,Siri記帳本-筆記本
imomahaddnhnhfggpmpbphdiobpmahof,YouTube 播放器的皮膚,自動跳過廣告、影院模式、永久進度條和許多自定義 YouTube 播放器主題。
ikhellhiloohclodmbafmpjcaafhegjk,allsearchtw,using Traditional Chinese to search 6 search engine at the same time
aaafaichkdancmiadaonoglfjeodjkik,Auto Admit,Auto Admit
okddffdblfhhnmhodogpojmfkjmhinfp,DEPRECATED Secure Shell App (dev),"(DEPRECATED: USE THE EXTENSION)
Terminal emulator and SSH and SFTP client."
encbecmahlenjagjldhiipafiagddaca,天空爭霸,進入一個充滿奇觀的神祕世界，指揮戰艦探索奇異的領域並與強大的戰艦戰鬥。你能完成艱巨的任務，成爲獨霸一方的英雄嗎？
dkmgoakpnejdcopljneldmdcmlmgnphn,PNG到SVG轉換器,快速將 PNG 圖像轉換為 SVG 圖像
oooiobdokpcfdlahlmcddobejikcmkfo,TeamViewer,TeamViewer - 遠端支援與家庭辦公室的全方位軟體
blpcfgokakmgnkcojhhkbfbldkacnbeo,YouTube,YouTube 於 2005 年 2 月創立，是全世界最受歡迎的線上影片社群，讓數十億人得以探索、觀看及分享原創影片。YouTube…
lpejglcfpkpbjhmnnmpmmlpblkcmdgmi,Delta Free VPN,Free VPN that works. Choose different geo location and change your IP address using Delta VPN.
dfemhmpfkfmcmfdfiknifofpainceiki,香港股票追蹤 (Hong Kong Stock Tracker),實時監控股票流動，追蹤多項港股及指數，掌握香港股市行程
